职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
网页设计师,7-9千/月,广州-白云区,广州曙光口腔门诊部有限公司,民营公司,少于50人,医疗/护理/卫生,07-22,
网页设计师,0.7-1.2万/月,深圳-南山区,深圳市泰科智能机器人有限公司,民营公司,50-150人,仪器仪表/工业自动化,07-22,
网页设计师/美工,6-8千/月,上海,上海天谋网络科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,0.8-1.2万/月,杭州-西湖区,杭州思达电子科技发展有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,0.9-1.8万/月,深圳,深圳市凯东集团有限公司,民营公司,150-500人,金融/投资/证券,07-22,
资深网页设计师,6-8千/月,广州-越秀区,中企动力科技股份有限公司广州分公司,上市公司,150-500人,互联网/电子商务,07-22,
初级网页设计师 （双休+奖金）,6-8千/月,深圳-南山区,深圳研选信息技术有限公司,民营公司,50-150人,互联网/电子商务,07-22,
资深/高级网页设计师/网页美工（入职购买五险一金）,0.6-1万/月,武汉-硚口区,武汉九州丛琳医疗美容医院有限公司,民营公司,50-150人,医疗/护理/卫生,07-22,
网页设计师,0.8-1万/月,上海,上海麦昱建筑设计咨询事务所,外资（非欧美）,50-150人,建筑/建材/工程,07-22,
网页设计师,1.5-1.8万/月,上海-闵行区,蟹状元,民营公司,150-500人,批发/零售,07-22,
网页设计师,0.8-1万/月,上海-徐汇区,上海倍爱健康管理有限公司,民营公司,150-500人,美容/保健,07-22,
网页设计师/美工,0.8-1万/月,上海,罗莱生活科技股份有限公司,上市公司,1000-5000人,服装/纺织/皮革,07-22,
网页设计师（美工）包住宿,4-8千/月,广州-增城区,广州国之源商贸有限公司,民营公司,50-150人,快速消费品(食品、饮料、化妆品),07-22,
网页设计师,4.5-6千/月,大连-高新园区,大连赛朗信息科技有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师/电商设计师,0.6-1万/月,广州-白云区,广州丝薇化妆品有限公司,创业公司,50-150人,快速消费品(食品、饮料、化妆品),07-22,
网页UI设计师,1.2-1.7万/月,北京-朝阳区,北京优飞软件科技有限公司,民营公司,少于50人,计算机软件,07-22,
平面设计师/网页美工,5-7千/月,广州,广州俪宸时尚科技有限公司,民营公司,50-150人,服装/纺织/皮革,07-22,
网页设计师,6-8千/月,深圳-龙岗区,深圳如品金银实业有限公司,民营公司,少于50人,批发/零售,07-22,
高级网页设计师,6-8千/月,长沙-岳麓区,湖南竞网智赢网络技术有限公司,民营公司,1000-5000人,互联网/电子商务,07-22,
网页设计师,6-8千/月,广州-番禺区,广州创显科教股份有限公司,民营公司,500-1000人,多元化业务集团公司,07-22,
网页设计师,6-8千/月,昆明-盘龙区,云南杰安信息科技有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),07-22,
网页设计师,5-7千/月,成都-武侯区,成都美容整形医院有限公司,民营公司,150-500人,医疗/护理/卫生,07-22,
资深网页设计师（六险一金）,8-15万/年,广州-番禺区,广州拓瑞信息技术有限公司,民营公司,50-150人,贸易/进出口,07-22,
高级网页设计师,0.8-1.2万/月,深圳-宝安区,深圳万狼科技有限公司,民营公司,50-150人,计算机软件,07-22,
资深网页设计师,1-1.5万/月,深圳-龙岗区,深圳市远古科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
高级UI设计师（网页）,1-2万/月,成都,成都傲梅科技有限公司,民营公司,150-500人,计算机软件,07-22,
网页设计师,4.5-6千/月,沈阳,沈阳中辉云科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
淘宝美工/店铺设计师/网页设计,6-8千/月,上海-长宁区,朗索消毒,民营公司,150-500人,医疗设备/器械,07-22,
网页设计师,3.5-7千/月,重庆,重庆锐昂机械有限公司,民营公司,少于50人,机械/设备/重工,07-22,
资深网页设计师,5-6千/月,淮安,仪菲集团,民营公司,150-500人,互联网/电子商务,07-22,
网页设计师,6-8千/月,武汉,武汉优美网络技术有限公司,民营公司,500-1000人,互联网/电子商务,07-22,
平面设计师/网页设计6-9K,6-9千/月,深圳-宝安区,至真医疗信息科技（深圳）有限公司,民营公司,少于50人,餐饮业,07-22,
网页设计师,6-8千/月,广州-黄埔区,广东华泰教育科技股份有限公司,民营公司,150-500人,教育/培训/院校,07-22,
网页设计师,0.8-1万/月,金华-浦江县,浦江县坦帕龙贸易有限公司,合资,,贸易/进出口,07-22,
网页设计师,6-8千/月,武汉-江夏区,创新无限信息技术（武汉）股份有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师,6-8千/月,宁波,宁波全贸信息技术有限公司,民营公司,150-500人,互联网/电子商务,07-22,
网页交互设计师,0.8-1.2万/月,深圳-宝安区,深圳市百橡电子商务有限公司,外资（欧美）,少于50人,互联网/电子商务,07-22,
