职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
硬件测试工程师,5-6千/月,天津-宝坻区,北京新松佳和电子系统股份有限公司,民营公司,150-500人,仪器仪表/工业自动化,07-22,
初级测试工程师,6-8千/月,南京-玄武区,南京云非云网络科技有限公司,民营公司,,互联网/电子商务,07-22,
软件测试工程师,1.2-1.8万/月,重庆-渝中区,大连连合信息技术有限公司,民营公司,150-500人,计算机软件,07-22,
软件测试工程师,0.7-1.4万/月,佛山-南海区,北京易诚互动网络技术有限公司,民营公司,1000-5000人,计算机软件,07-22,
汽车电子测试工程师,1.5-2.5万/月,重庆-江北区,苏州凯恩泰克汽车技术有限公司,民营公司,50-150人,汽车,07-22,
软件测试工程师,2.5-4.5万/月,深圳,北京昶逸咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-22,
高级测试工程师,0.8-1万/月,上海-黄浦区,上海瀚银信息技术有限公司,合资,150-500人,金融/投资/证券,07-22,
电子烟测试工程师,1.2-1.8万/月,东莞-樟木头镇,东莞太洋橡塑制品有限公司,外资（非欧美）,1000-5000人,原材料和加工,07-22,
APP测试工程师,1.5-2万/月,武汉-蔡甸区,慧博云通科技股份有限公司,民营公司,1000-5000人,计算机软件,07-22,
软件测试工程师,1.2-1.6万/月,上海-浦东新区,振利软件科技（上海）有限公司,合资,150-500人,计算机软件,07-22,
游戏测试工程师,6-8千/月,无锡,上海上嵌信息科技有限公司,民营公司,,计算机软件,07-22,
中级功能测试工程师,1.3-1.7万/月,上海-宝山区,上海释理网络科技有限公司,民营公司,,电子技术/半导体/集成电路,07-22,
测试工程师,0.8-1.2万/月,深圳-福田区,北京中软万维网络技术有限公司上海分公司,国企,150-500人,计算机软件,07-22,
初级测试工程师,0.5-1万/月,天津-滨海新区,北京和众汇富科技股份有限公司天津分公司,民营公司,150-500人,金融/投资/证券,07-22,
高级可靠性测试工程师 Y(J13141),1.5-2万/月,惠州-惠城区,龙旗集团-龙旗电子（惠州）有限公司,上市公司,5000-10000人,通信/电信运营、增值服务,07-22,
可靠性测试工程师,5-8千/月,成都-高新区,华测检测认证集团股份有限公司,上市公司,10000人以上,检测，认证,07-22,
测试工程师,0.9-1.5万/月,武汉-东湖新技术产业开发区,风脉能源（武汉）股份有限公司,民营公司,50-150人,建筑/建材/工程,07-22,
软件测试工程师（日语） (MJ000065),1.2-1.6万/月,西安,上海甄汇信息科技有限公司,创业公司,150-500人,互联网/电子商务,07-22,
硬件测试工程师,0.7-1万/月,成都,上海睿畜电子科技有限公司,合资,50-150人,互联网/电子商务,07-22,
芯片测试工程师,1.5-3万/月,北京-海淀区,北京新忆科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
软件测试工程师（嘉定）,0.8-1.6万/月,上海-浦东新区,上海瀚海检测技术股份有限公司,民营公司,150-500人,检测，认证,07-22,
硬件测试工程师,0.8-1.5万/月,苏州,江苏固德威电源科技股份有限公司,民营公司,1000-5000人,新能源,07-22,
化学测试工程师,1-1.5万/月,苏州-工业园区,苏州微创骨科学（集团）有限公司,民营公司,500-1000人,医疗设备/器械,07-22,
游戏测试工程师,6-8千/月,成都-高新区,成都麦华崃科技有限公司,民营公司,少于50人,计算机软件,07-22,
软件测试工程师,0.8-1万/月,广州-白云区,广州北斗互联技术有限公司,民营公司,少于50人,互联网/电子商务,07-22,
渗透测试工程师,1.5-2万/月,南昌-青山湖区,江西掌控者信息安全技术有限责任公司,民营公司,少于50人,计算机软件,07-22,
中级测试工程师,0.8-1.2万/月,广州-天河区,广州维度科技有限公司,创业公司,50-150人,互联网/电子商务,07-22,
通信测试工程师,0.7-1万/月,武汉-东湖新技术产业开发区,武汉远创智达科技有限公司,民营公司,50-150人,计算机软件,07-22,
MCU可靠性测试工程师,20-30万/年,合肥-高新区,合肥健天电子有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
高级测试工程师,1.3-1.7万/月,杭州-滨江区,杭州迦智科技有限公司,民营公司,50-150人,仪器仪表/工业自动化,07-22,
系统测试工程师L21(J11722),1.2-1.6万/月,上海-嘉定区,上海联影医疗科技股份有限公司,民营公司,5000-10000人,医疗设备/器械,07-22,
软件测试工程师,4.5-6千/月,无锡-滨湖区,无锡润元智能物业管理有限公司,合资,,物业管理/商业中心,07-22,
测试工程师,1.1-1.6万/月,深圳-南山区,深圳芥舟科技有限公司,民营公司,150-500人,计算机软件,07-22,
软件功能测试工程师,0.8-1.3万/月,合肥-滨湖新区,京北方信息技术股份有限公司武汉分公司,民营公司,500-1000人,计算机服务(系统、数据服务、维修),07-22,
质量测试工程师,0.8-1万/月,泰州-海陵区,泰州隆基乐叶光伏科技有限公司,民营公司,,电子技术/半导体/集成电路,07-22,
测试工程师,1-1.5万/月,南京-江宁区,武汉光庭信息技术股份有限公司,民营公司,1000-5000人,计算机软件,07-22,
实验测试工程师,7-9千/月,上海-嘉定区,上海胜华波汽车电器有限公司,民营公司,1000-5000人,汽车,07-22,
生产测试工程师,6-8千/月,嘉兴,浙江宇跃智能科技有限公司,合资,,计算机软件,07-22,
软件测试工程师,5-8千/月,珠海-珠海高新区,珠海富润科技有限公司,民营公司,50-150人,计算机软件,07-22,
软件测试工程师,0.7-1.4万/月,南京-栖霞区,南京铁三角科技有限公司,民营公司,少于50人,医疗设备/器械,07-22,
TE/测试工程师,0.8-1.2万/月,深圳-龙岗区,深圳坚朗海贝斯智能科技有限公司,合资,150-500人,电子技术/半导体/集成电路,07-22,
软件测试工程师,6-8千/月,深圳-南山区,深圳市江元科技（集团）有限公司,合资,1000-5000人,电子技术/半导体/集成电路,07-22,
中高级测试工程师,1.2-1.6万/月,深圳-南山区,深圳市爱德数智科技股份有限公司,民营公司,500-1000人,计算机软件,07-22,
测试工程师,1.2-1.5万/月,深圳-福田区,深圳市亚软信息技术服务有限公司,民营公司,1000-5000人,计算机软件,07-22,
硬件测试工程师,1-1.5万/月,深圳-南山区,艾拉物联网络（深圳）有限公司,外资（非欧美）,150-500人,多元化业务集团公司,07-22,
软件测试工程师,0.8-1万/月,深圳-南山区,信必优(深圳)信息技术有限公司,外资（欧美）,1000-5000人,计算机软件,07-22,
化学测试工程师,6-8千/月,苏州-高新区,苏州市宏丰钛业有限公司,民营公司,150-500人,石油/化工/矿产/地质,07-22,
APP测试工程师,0.9-1.5万/月,深圳-南山区,深圳达实智能股份有限公司,上市公司,1000-5000人,计算机服务(系统、数据服务、维修),07-22,
娱乐系统测试工程师,1.2-2万/月,广州-番禺区,亚创（上海）工程技术有限公司,外资（欧美）,10000人以上,通信/电信运营、增值服务,07-22,
芯片量产测试工程师,9-15万/年,重庆-渝北区,重庆线易电子科技有限责任公司,创业公司,少于50人,电子技术/半导体/集成电路,07-22,
