职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
数据分析师,0.8-1万/月,无锡-滨湖区,江苏开拓信息与系统有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),07-23,
医学数据分析师,1-2万/月,北京-朝阳区,医药魔方,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师,0.9-1.1万/月,上海-嘉定区,上海祥隆电子商务有限公司,民营公司,50-150人,互联网/电子商务,07-23,
AI数据分析师,4-7千/月,无锡-滨湖区,感图网络科技有限公司,民营公司,150-500人,计算机软件,07-23,
数据分析师,10-15万/年,宁波-高新区,宁波太平鸟时尚服饰股份有限公司,民营公司,5000-10000人,服装/纺织/皮革,07-23,
高级/资深数据分析师,1.8-2.5万/月,上海-杨浦区,上海全拓房地产经纪有限公司,民营公司,1000-5000人,房地产,07-23,
数据分析师,1-1.5万/月,上海,德赛诊断系统（上海）有限公司,合资,50-150人,医疗设备/器械,07-23,
数据分析师,1.5-3万/月,上海-杨浦区,一宠（上海）健康科技有限公司,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师,0.5-1万/月,深圳-福田区,深圳市融臻资产管理有限公司,民营公司,500-1000人,金融/投资/证券,07-23,
数据分析师,1-1.5万/月,上海-浦东新区,上海神州数码有限公司,上市公司,500-1000人,计算机服务(系统、数据服务、维修),07-23,
数据分析师（兼稽核）,6-8千/月,西安-高新技术产业开发区,陕西星辰时煜文化传媒有限公司,民营公司,150-500人,影视/媒体/艺术/文化传播,07-23,
数据分析师,1-1.5万/月,常熟,苏州仕泰得智能科技有限公司,民营公司,少于50人,机械/设备/重工,07-23,
数据分析师,0.6-1万/月,杭州-江干区,杭州锅炉集团股份有限公司,民营公司,1000-5000人,机械/设备/重工,07-23,
数据分析师,0.8-1万/月,上海-浦东新区,上海成玙信息科技有限公司,民营公司,少于50人,仪器仪表/工业自动化,07-23,
数据分析师,1-1.5万/月,常熟,贝塔科技（苏州）有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),07-23,
